iter	Passed	Remaining
1246	2713	1638
1247	2715	1635
1248	2717	1633
1249	2719	1631
1250	2721	1629
1251	2723	1626
1252	2725	1624
1253	2727	1622
1254	2729	1620
1255	2731	1617
1256	2733	1615
1257	2735	1613
1258	2737	1611
1259	2739	1608
1260	2741	1606
1261	2743	1604
1262	2745	1602
1263	2747	1599
1264	2749	1597
1265	2751	1595
1266	2753	1593
1267	2755	1590
1268	2757	1588
1269	2759	1586
1270	2761	1584
1271	2763	1581
1272	2765	1579
1273	2767	1577
1274	2769	1575
1275	2771	1572
1276	2773	1570
1277	2776	1568
1278	2778	1566
1279	2780	1563
1280	2782	1561
1281	2784	1559
1282	2786	1557
1283	2788	1554
1284	2790	1552
1285	2792	1550
1286	2794	1548
1287	2796	1545
1288	2798	1543
1289	2800	1541
1290	2802	1539
1291	2804	1536
1292	2806	1534
1293	2808	1532
1294	2810	1530
1295	2812	1527
1296	2814	1525
1297	2816	1523
1298	2818	1521
1299	2820	1518
1300	2822	1516
1301	2824	1514
1302	2826	1512
1303	2828	1509
1304	2830	1507
1305	2833	1505
1306	2835	1503
1307	2837	1500
1308	2839	1498
1309	2841	1496
1310	2843	1494
1311	2845	1491
1312	2847	1489
1313	2849	1487
1314	2851	1485
1315	2853	1483
1316	2855	1480
1317	2857	1478
1318	2859	1476
1319	2861	1474
1320	2863	1471
1321	2865	1469
1322	2867	1467
1323	2869	1465
1324	2871	1462
1325	2873	1460
1326	2875	1458
1327	2877	1456
1328	2879	1453
1329	2881	1451
1330	2883	1449
1331	2885	1447
1332	2887	1444
1333	2889	1442
1334	2891	1440
1335	2894	1438
1336	2895	1436
1337	2897	1433
1338	2900	1431
1339	2901	1429
1340	2903	1427
1341	2905	1424
1342	2908	1422
1343	2909	1420
1344	2912	1418
1345	2914	1415
1346	2916	1413
1347	2918	1411
1348	2920	1409
1349	2922	1406
1350	2924	1404
1351	2926	1402
1352	2928	1400
1353	2930	1397
1354	2932	1395
1355	2933	1393
1356	2936	1391
1357	2938	1389
1358	2940	1386
1359	2942	1384
1360	2944	1382
1361	2946	1380
1362	2948	1377
1363	2950	1375
1364	2952	1373
1365	2954	1371
1366	2956	1369
1367	2958	1366
1368	2960	1364
1369	2962	1362
1370	2964	1360
1371	2966	1357
1372	2968	1355
1373	2970	1353
1374	2972	1351
1375	2974	1348
1376	2976	1346
1377	2978	1344
1378	2980	1342
1379	2982	1340
1380	2984	1337
1381	2986	1335
1382	2988	1333
1383	2990	1331
1384	2992	1328
1385	2994	1326
1386	2996	1324
1387	2998	1322
1388	3000	1319
1389	3002	1317
1390	3004	1315
1391	3006	1313
1392	3008	1310
1393	3010	1308
1394	3012	1306
1395	3014	1304
1396	3016	1302
1397	3018	1299
1398	3020	1297
1399	3023	1295
1400	3024	1293
1401	3026	1291
1402	3028	1288
1403	3030	1286
1404	3032	1284
1405	3034	1282
1406	3036	1279
1407	3038	1277
1408	3040	1275
1409	3042	1273
1410	3044	1271
1411	3046	1268
1412	3048	1266
1413	3050	1264
1414	3052	1262
1415	3054	1259
1416	3056	1257
1417	3058	1255
1418	3060	1253
1419	3062	1250
1420	3064	1248
1421	3066	1246
1422	3068	1244
1423	3070	1242
1424	3072	1239
1425	3074	1237
1426	3076	1235
1427	3078	1233
1428	3080	1231
1429	3082	1228
1430	3084	1226
1431	3087	1224
1432	3089	1222
1433	3090	1220
1434	3092	1217
1435	3094	1215
1436	3096	1213
1437	3098	1211
1438	3100	1208
1439	3103	1206
1440	3105	1204
1441	3107	1202
1442	3109	1200
1443	3111	1197
1444	3113	1195
1445	3115	1193
1446	3117	1191
1447	3119	1189
1448	3121	1186
1449	3123	1184
1450	3125	1182
1451	3127	1180
1452	3129	1177
1453	3131	1175
1454	3133	1173
1455	3134	1171
1456	3136	1169
1457	3138	1166
1458	3140	1164
1459	3142	1162
1460	3144	1160
1461	3146	1158
1462	3149	1155
1463	3150	1153
1464	3152	1151
1465	3154	1149
1466	3156	1146
1467	3158	1144
1468	3160	1142
1469	3162	1140
1470	3164	1137
1471	3166	1135
1472	3168	1133
1473	3170	1131
1474	3172	1129
1475	3174	1126
1476	3176	1124
1477	3178	1122
1478	3180	1120
1479	3182	1118
1480	3183	1115
1481	3185	1113
1482	3187	1111
1483	3190	1109
1484	3192	1106
1485	3194	1104
1486	3195	1102
1487	3197	1100
1488	3199	1098
1489	3201	1095
1490	3203	1093
1491	3205	1091
1492	3207	1089
1493	3209	1087
1494	3211	1084
1495	3213	1082
1496	3215	1080
1497	3217	1078
1498	3219	1076
1499	3221	1073
1500	3223	1071
1501	3225	1069
1502	3227	1067
1503	3229	1065
1504	3231	1062
1505	3233	1060
1506	3235	1058
1507	3237	1056
1508	3239	1053
1509	3241	1051
1510	3243	1049
1511	3245	1047
1512	3247	1045
1513	3249	1043
1514	3251	1040
1515	3253	1038
1516	3255	1036
1517	3257	1034
1518	3259	1032
1519	3261	1029
1520	3263	1027
1521	3265	1025
1522	3267	1023
1523	3269	1021
1524	3271	1018
1525	3273	1016
1526	3275	1014
1527	3277	1012
1528	3279	1010
1529	3281	1008
1530	3283	1005
1531	3285	1003
1532	3287	1001
1533	3289	999
1534	3291	997
1535	3293	995
1536	3295	992
1537	3297	990
1538	3299	988
1539	3301	986
1540	3303	984
1541	3306	981
1542	3308	979
1543	3310	977
1544	3312	975
1545	3314	973
1546	3316	971
1547	3317	968
1548	3319	966
1549	3321	964
1550	3323	962
1551	3325	960
1552	3327	957
1553	3329	955
1554	3331	953
1555	3333	951
1556	3335	949
1557	3337	946
1558	3339	944
1559	3341	942
1560	3343	940
1561	3345	938
1562	3347	935
1563	3349	933
1564	3350	931
1565	3352	929
1566	3354	926
1567	3356	924
1568	3358	922
1569	3360	920
1570	3362	918
1571	3363	915
1572	3365	913
1573	3367	911
1574	3369	909
1575	3371	907
1576	3373	904
1577	3375	902
1578	3377	900
1579	3379	898
1580	3381	896
1581	3383	893
1582	3385	891
1583	3387	889
1584	3388	887
1585	3390	885
1586	3392	882
1587	3394	880
1588	3396	878
1589	3398	876
1590	3400	874
1591	3402	871
1592	3404	869
1593	3406	867
1594	3408	865
1595	3410	863
1596	3412	861
1597	3414	858
1598	3416	856
1599	3418	854
1600	3419	852
1601	3421	850
1602	3423	847
1603	3425	845
1604	3427	843
1605	3429	841
1606	3431	839
1607	3433	837
1608	3435	834
1609	3437	832
1610	3439	830
1611	3442	828
1612	3444	826
1613	3446	824
1614	3448	822
1615	3450	819
1616	3452	817
1617	3454	815
1618	3456	813
1619	3458	811
1620	3460	809
1621	3462	806
1622	3464	804
1623	3466	802
1624	3468	800
1625	3470	798
1626	3472	796
1627	3474	793
1628	3476	791
1629	3478	789
1630	3480	787
1631	3482	785
1632	3484	783
1633	3485	780
1634	3487	778
1635	3490	776
1636	3491	774
1637	3493	772
1638	3495	769
1639	3497	767
1640	3500	765
1641	3502	763
1642	3504	761
1643	3506	759
1644	3508	757
1645	3510	754
1646	3512	752
1647	3514	750
1648	3516	748
1649	3518	746
1650	3520	744
1651	3522	741
1652	3524	739
1653	3526	737
1654	3528	735
1655	3530	733
1656	3532	731
1657	3534	729
1658	3536	726
1659	3538	724
1660	3540	722
1661	3542	720
1662	3544	718
1663	3546	716
1664	3548	713
1665	3549	711
1666	3551	709
1667	3553	707
1668	3555	705
1669	3557	703
1670	3559	700
1671	3561	698
1672	3563	696
1673	3565	694
1674	3567	692
1675	3569	690
1676	3571	687
1677	3573	685
1678	3575	683
1679	3577	681
1680	3580	679
1681	3582	677
1682	3584	675
1683	3587	673
1684	3589	671
1685	3592	668
1686	3594	666
1687	3596	664
1688	3598	662
1689	3600	660
1690	3602	658
1691	3604	656
1692	3606	654
1693	3608	651
1694	3610	649
1695	3612	647
1696	3614	645
1697	3617	643
1698	3619	641
1699	3621	639
1700	3623	636
1701	3625	634
1702	3627	632
1703	3629	630
1704	3631	628
1705	3633	626
1706	3635	624
1707	3637	621
1708	3639	619
1709	3641	617
1710	3643	615
1711	3645	613
1712	3647	611
1713	3649	608
1714	3651	606
1715	3653	604
